instancia, alpha, numeroiteracionesgrasp, replica, valoroptimo, valorobjetivo, iteracionmejorsolucion, tiempohallarmejorsolucion, tiempototal 
j101.tsp 0.4 4 3 642.3095357906022 681.5520768697753 4 109.88500390165427 109.8856535237901
j101.tsp 0.4 8 3 642.3095357906022 673.3312989276858 1 44.65175544383237 255.5610196531852
j101.tsp 0.4 16 3 642.3095357906022 658.9287634924374 8 256.00227609242575 539.9888054891853
j101.tsp 0.4 4 4 642.3095357906022 680.8299684587861 3 89.87429449435876 122.90559921755266
j101.tsp 0.4 8 4 642.3095357906022 655.9705501377342 5 172.94002737951814 274.2915861556794
j101.tsp 0.4 16 4 642.3095357906022 665.0516954270249 5 165.7186692406067 535.2188659082713
j101.tsp 0.5 4 1 642.3095357906022 659.6159338651188 3 96.14098551179632 126.44859910133528
j101.tsp 0.5 8 1 642.3095357906022 669.2895538637911 6 217.60453377084195 280.82538114737326
j101.tsp 0.5 16 1 642.3095357906022 662.2208358140207 1 31.748132562759565 544.4387159095495
j101.tsp 0.5 4 2 642.3095357906022 665.0628787014115 3 124.87413057948288 157.4171890258549
j101.tsp 0.5 8 2 642.3095357906022 672.4169909046964 6 188.7358473991735 263.8330377532511
j101.tsp 0.5 16 2 642.3095357906022 668.7682270130309 13 458.78185887925065 538.8448106451106
j101.tsp 0.5 4 3 642.3095357906022 674.0827371154099 2 67.47991016378 126.13988610481829
j101.tsp 0.5 8 3 642.3095357906022 674.0583436693466 2 67.40001630092593 246.90242295170538
j101.tsp 0.5 16 3 642.3095357906022 665.9652107375924 10 319.3421178224962 529.6826073634875
j101.tsp 0.5 4 4 642.3095357906022 676.251718354587 2 73.25349571874176 134.97347295781947
j101.tsp 0.5 8 4 642.3095357906022 663.8405712439603 5 155.63253936749607 246.62942045676027
j101.tsp 0.5 16 4 642.3095357906022 669.1770208963342 7 239.83048665814567 561.7446616727466
a48.txt 0.2 4 1 33523.70850743559 34161.16648202183 4 3.188522442414787 3.188595797450746
a48.txt 0.2 8 1 33523.70850743559 34070.80275830932 7 4.67044480320323 5.361076429306273
a48.txt 0.2 16 1 33523.70850743559 33930.520831208516 13 10.629607782999503 12.452542612332824
a48.txt 0.2 4 2 33523.70850743559 34688.426092873015 1 0.6685958336754574 2.577906972532009
a48.txt 0.2 8 2 33523.70850743559 33555.276457085136 5 2.897556824493698 5.149470092880154
a48.txt 0.2 16 2 33523.70850743559 34228.23537889125 8 6.176864425403661 12.479468438618436
a48.txt 0.2 4 3 33523.70850743559 34888.98734312948 4 3.2737244676175266 3.273821972459558
a48.txt 0.2 8 3 33523.70850743559 34325.109329182975 8 7.37157585937085 7.371658270584092
a48.txt 0.2 16 3 33523.70850743559 33784.027009908306 4 3.2473640486666966 12.324900623548004
a48.txt 0.2 4 4 33523.70850743559 33915.18216144403 4 2.7772433962355194 2.7773463347839282
a48.txt 0.2 8 4 33523.70850743559 33861.846243798114 2 1.283348165339234 5.569640493911834
a48.txt 0.2 16 4 33523.70850743559 34084.313530986714 4 3.073849503238492 10.389905864055919
